Ticker,Current_Price,Predicted_24h,Change_Pct,Signal,Confidence,Volume,Model
SOL-USD,86.029221,144.800997,68.32,🟢 BUY,999.0,"5,118,280,704",best_lstm_SOL-USD.keras
DOT-USD,1.213202,1.561548,28.71,🟢 BUY,999.0,"374,845,312",best_lstm_DOT-USD.keras
LTC-USD,54.363716,66.27671,21.91,🟢 BUY,999.0,"280,393,152",best_lstm_LTC-USD.keras
SHIB-USD,6e-06,7e-06,20.71,🟢 BUY,999.0,"112,307,536",best_lstm_SHIB-USD.keras
ADA-USD,0.245929,0.293417,19.31,🟢 BUY,999.0,"544,770,496",best_lstm_ADA-USD.keras
LINK-USD,9.254512,10.772173,16.4,🟢 BUY,999.0,"679,006,144",best_lstm_LINK-USD.keras
BTC-USD,74313.609375,76490.565739,2.93,🟢 BUY,195.3,"53,037,953,024",best_lstm_BTC-USD.keras
ETH-USD,2364.209961,2404.646095,1.71,🟢 BUY,114.0,"24,090,048,512",best_lstm_ETH-USD.keras
TRX-USD,0.32054,0.316354,-1.31,🟡 HOLD,0.0,"664,930,624",best_lstm_TRX-USD.keras
DOGE-USD,0.093901,0.084912,-9.57,🔴 SELL,638.2,"1,562,442,496",best_lstm_DOGE-USD.keras
XRP-USD,1.364904,1.056433,-22.6,🔴 SELL,999.0,"2,752,052,480",best_lstm_XRP-USD.keras
